query	class
who are all the analyst in java	0
SAP proposals From 17th April and 1st of May	0
developers with 5 years of experience in oracle	0
training in ajax for next week	2
oracle event happening in chennai on 21st April	1
scala related trainings From 17th April and 1st of May	2
list all my initiated risk on thursday	0
my celebration in Chennai on thursday	1
scala related case studie for this month	0
SAP lessons learnt	2
what are all my upcoming workshops for next month	1
d&i training happening in chennai on Monday	1
list all my open tasks for this month	0
training in oracle for next week	0
list all my conference I am speaking for this week	1
list all the lessons learnt on 21st April	2
d&i trainings I am speaking tomorrow	1
Python conference in newyork tomorrow	1
SCALA workshops I am organizing on next tuesday	1
d&i workshop on Monday	1
scala related developers with 5+ years of experience	0
list all my recommended workshops From 17th April and 1st of May	1
java related proposal for next month	2
list all my in progress apricot tomorrow	0
what are all the workshop happening in chennai for next month	1
my best practices on next tuesday	0
SCALA conference on this Saturday	1
UX corporates I am participating on wednesday	1
oracle designers with 2-7 years of experience	0
what are all the workshop in bangalore on 21st April	1
android architect in oracle	0
java corporate I am organizing on next tuesday	1
what are all the celebration I am speaking on 21st April	1
my project celebrations happening in chennai for this month	1
my issues on 21st April	0
leads in scala	0
java white papers on thursday	2
.net competencies on Monday	0
list all the best practices today	0
my event tomorrow	1
list all my closed apricots for this week	0
list all my project task for this week	0
java events in mumbai for next month	1
UI events I am participating on wednesday	1
list all my initiated apricot on wednesday	0
what are all my initiated apricot on next tuesday	0
oracle proposal today	0
list all corporate I am participating	1
list all my project celebrations I am speaking on this Saturday	1
what are all the courses	0
UX experts with experience more than 3 years	0
.net course on thursday	2
list all my in progress issues for next week	0
my training I am organizing on Monday	1
oracle conferences in london on wednesday	1
ajax competencies on Monday	2
analyst with 5+ years of experience in scala	0
my workshop in newyork on Monday	1
SAP white paper on wednesday	0
UX celebrations I am organizing tomorrow	1
UX celebrations From 17th April and 1st of May	1
oracle event in mumbai on thursday	1
list all corporates I am speaking for next week	1
my proposals on 21st April	0
trainings published in java tomorrow	2
oracle conferences I am participating between 1st of May and 2nd of December	1
Hub event in mumbai on next tuesday	1
list all my upcoming celebrations in Chennai	1
list all my corporate I am organizing for next month	1
my project conferences in mumbai between 1st of May and 2nd of December	1
my corporate in bangalore on wednesday	1
UX trainings I am participating for this week	1
what are all my in progress apricots for next month	0
Hub event in Chennai for next month	1
.net developer in scala	0
my best practice for next week	0
list all the case studie for this month	0
SAP competencie for next week	2
java conferences I am organizing on 21st April	1
case studie in ajax From 17th April and 1st of May	0
UX conferences in newyork today	1
oracle lessons learnt on Monday	0
SCALA workshops in newyork today	1
list all my open apricots for next week	0
list all my conference happening in chennai today	1
best practices in ajax for next week	2
what are all the case studie for this week	0
list all my corporate in Chennai on Monday	1
what are all the white paper on wednesday	0
SAP designers with experience more than 3 years	0
scala related courses for this month	0
IBelong celebrations I am speaking on this Saturday	1
Python events I am organizing on this Saturday	1
list all my project conferences for this week	1
my event in newyork on next tuesday	1
list all my upcoming corporates in bangalore between 1st of May and 2nd of December	1
.net best practice on next tuesday	0
android analysts with experience less than 10 years	0
oracle celebration in newyork From 17th April and 1st of May	1
what are all the trainings for this month	0
ajax analysts with experience more than 3 years	0
list all my recommended events in newyork on 21st April	1
my white paper between 1st of May and 2nd of December	0
oracle event I am speaking	1
scala related architect with 2-7 years of experience	0
list all event between 1st of May and 2nd of December	1
celebration today	1
Hub training I am participating between 1st of May and 2nd of December	1
UI trainings happening in chennai on wednesday	1
list all my initiated issue for next week	0
SAP developer	0
scala white papers on next tuesday	0
developer with 2-7 years of experience in oracle	0
list all my apricot for this month	0
java competencies tomorrow	2
SAP lessons learnt on thursday	2
what are all my open apricots on this Saturday	0
oracle celebration I am speaking	1
Hub celebrations in newyork between 1st of May and 2nd of December	1
iOS developers with experience less than 10 years	0
UX celebration in Chennai for next week	1
analysts in scala with experience more than 3 years	0
best practices published in java on 21st April	0
best practice in ajax	0
list all my recommended trainings happening in chennai on 21st April	1
SCALA training on wednesday	1
list all the architect in scala	0
IBelong workshops in newyork	1
my courses today	2
lessons learnt in ajax	0
list all my upcoming events in Chennai on this Saturday	1
Python conference in london on thursday	1
UX celebrations in mumbai tomorrow	1
Hub workshop for next week	1
list all event I am participating tomorrow	1
what are all the corporate in mumbai on Monday	1
list all the proposals between 1st of May and 2nd of December	0
what are all my upcoming training in newyork on Monday	1
java workshops I am speaking on this Saturday	1
what are all my recommended workshops in Chennai on 21st April	1
UX workshops in london on wednesday	1
oracle workshops I am organizing on wednesday	1
who are all the analysts in scala	0
best practice published in java for this week	0
list all my workshops happening in chennai for next month	1
what are all my open risks for this week	0
list all my upcoming corporate in newyork on Monday	1
analyst in scala with experience less than 10 years	0
course published in java for next month	2
Hub training I am organizing From 17th April and 1st of May	1
scala related analyst in scala	0
my project apricot on Monday	0
UX workshops in london on Monday	1
my white papers for next week	0
my proposals for next week	0
white paper on Monday	0
list all my project conference in london between 1st of May and 2nd of December	1
what are all my recommended conferences in newyork From 17th April and 1st of May	1
SCALA celebration in mumbai on next tuesday	1
list all my issues on next tuesday	0
scala related white papers for next month	0
oracle analysts	0
oracle trainings in newyork for next week	1
Python training in newyork on 21st April	1
Python workshops in newyork for this month	1
list all my upcoming corporates I am participating on wednesday	1
what are all the conferences in newyork	1
what are all my recommended celebration I am participating on next tuesday	1
what are all my in progress task for next month	0
my project conference in mumbai today	1
list all my conference I am organizing for next month	1
java best practice between 1st of May and 2nd of December	0
Python workshops in Chennai on Monday	1
what are all my recommended corporate I am speaking between 1st of May and 2nd of December	1
oracle case studie on next tuesday	0
list all the analysts in ajax	0
list all my trainings in mumbai	1
what are all my initiated tasks between 1st of May and 2nd of December	0
scala competencies for this month	0
my competencies for this week	0
what are all my upcoming conference in Chennai on 21st April	1
training in oracle on wednesday	0
best practice for this month	0
list all my recommended corporates in bangalore for next week	1
analysts in ajax with 5+ years of experience	0
list all celebrations in london tomorrow	1
UI corporate I am speaking on 21st April	1
training published in java on Monday	0
list all my event in newyork on 21st April	1
list all my conferences in mumbai on next tuesday	1
ajax case studies From 17th April and 1st of May	2
list all my project workshops I am organizing for this week	1
UX workshop in london today	1
ajax competencie tomorrow	2
UI event I am participating tomorrow	1
list all my upcoming celebration in bangalore today	1
Hub corporates in mumbai for next month	1
list all my open risks tomorrow	0
course in ajax today	0
courses available in scala on Monday	0
SAP white papers on Monday	0
what are all the events I am participating on Monday	1
list all my project risks on Monday	0
SCALA corporate in london for next month	1
UI events in mumbai for next week	1
UX designer with experience less than 10 years	0
what are all my recommended celebration happening in chennai for next week	1
best practice available in scala for this month	0
java proposal on next tuesday	0
UI workshops in london on wednesday	1
oracle corporates I am speaking From 17th April and 1st of May	1
my lessons learnts for next week	0
UX events I am organizing From 17th April and 1st of May	1
list all the proposals on 21st April	0
what are all my recommended events for next month	1
my white papers on this Saturday	0
proposals published in java on wednesday	2
my workshops I am organizing on thursday	1
my issue on next tuesday	0
java related case studies for next week	2
SCALA training I am organizing on next tuesday	1
case studie published in java between 1st of May and 2nd of December	0
case studie in oracle on 21st April	0
d&i workshops on this Saturday	1
UX analyst with 5 years of experience	0
list all my trainings I am speaking between 1st of May and 2nd of December	1
course on thursday	0
my project trainings in london	1
scala case studie between 1st of May and 2nd of December	0
case studies between 1st of May and 2nd of December	2
UI events on thursday	1
my celebration I am speaking on this Saturday	1
analyst in java with 2-7 years of experience	0
list all my recommended events happening in chennai tomorrow	1
SCALA celebration I am participating on this Saturday	1
java related proposal on next tuesday	0
what are all my in progress risk on thursday	0
list all my upcoming workshops I am participating on wednesday	1
java related best practices on 21st April	0
.net experts with experience more than 3 years	0
Hub corporates for next week	1
java related trainings for next week	0
list all my recommended corporate in mumbai on wednesday	1
SAP designer in ajax	0
list all the designers in scala	0
what are all the proposals From 17th April and 1st of May	0
my project celebration I am organizing tomorrow	1
my trainings I am organizing on 21st April	1
what are all the courses on Monday	0
lessons learnts in oracle on next tuesday	0
competencies in ajax between 1st of May and 2nd of December	0
IBelong event I am speaking for next week	1
my case studie for next month	0
list all my event I am organizing on 21st April	1
UX workshop happening in chennai on thursday	1
who are all the expert in java	0
what are all the corporate in london on wednesday	1
list all the white paper between 1st of May and 2nd of December	2
list all my in progress apricot for next week	0
lessons learnt in ajax for this month	2
java workshops in london From 17th April and 1st of May	1
what are all the conferences in newyork between 1st of May and 2nd of December	1
oracle corporate in Chennai	1
oracle celebrations I am participating for next month	1
SAP course on next tuesday	0
list all my celebration happening in chennai on next tuesday	1
Python event in bangalore on this Saturday	1
what are all my upcoming conferences happening in chennai on 21st April	1
list all my recommended corporates in newyork tomorrow	1
my courses today	0
android designer with experience more than 3 years	0
trainings available in scala From 17th April and 1st of May	0
java lessons learnt for next month	2
Hub corporates in mumbai on this Saturday	1
Hub conferences in mumbai on thursday	1
proposal for this month	0
my white papers for this month	0
java related trainings for next month	2
list all my project risk for this month	0
ajax competencie on wednesday	0
java event I am organizing on thursday	1
scala related courses From 17th April and 1st of May	0
what are all my closed apricots on 21st April	0
list all my project conferences in newyork on wednesday	1
java event in newyork on wednesday	1
scala course for next month	0
my project conferences in newyork tomorrow	1
scala lessons learnt for this month	0
courses published in java today	2
UI workshop happening in chennai on Monday	1
UX analyst with 5+ years of experience	0
list all corporate I am organizing for this week	1
IBelong corporate in Chennai between 1st of May and 2nd of December	1
best practice available in scala between 1st of May and 2nd of December	2
scala architect	0
d&i conference I am participating on Monday	1
UX conferences happening in chennai between 1st of May and 2nd of December	1
list all my recommended celebration in Chennai tomorrow	1
my project corporate in bangalore for next month	1
trainings in oracle on wednesday	2
list all my upcoming trainings in london for next month	1
what are all my in progress risk on wednesday	0
Hub workshop in bangalore on next tuesday	1
Hub event I am speaking on next tuesday	1
d&i trainings in bangalore on Monday	1
my best practices on this Saturday	0
oracle conferences I am organizing	1
java course for this month	0
UX workshop on Monday	1
d&i conference happening in chennai on this Saturday	1
scala related case studies between 1st of May and 2nd of December	0
scala lessons learnt on next tuesday	0
who are all the leads with experience more than 3 years	0
ajax best practice between 1st of May and 2nd of December	0
what are all my upcoming workshop I am speaking tomorrow	1
list all my tasks between 1st of May and 2nd of December	0
d&i corporate in bangalore for next week	1
ajax training for next week	0
courses available in scala on this Saturday	2
list all my conference I am participating From 17th April and 1st of May	1
list all the course on this Saturday	0
SAP course between 1st of May and 2nd of December	2
list all my open risks today	0
list all the white papers for next week	0
oracle white papers for next week	0
my project event I am participating on 21st April	1
UI celebration in bangalore for next week	1
SAP competencie between 1st of May and 2nd of December	0
ajax architects with 5+ years of experience	0
list all my events in newyork on next tuesday	1
d&i celebrations happening in chennai	1
what are all my initiated task tomorrow	0
training available in scala for this week	0
.net courses From 17th April and 1st of May	2
expert in scala with 5+ years of experience	0
java celebrations I am speaking on next tuesday	1
scala related analysts in oracle	0
what are all the conferences I am participating	1
ajax competencies on 21st April	0
list all my project workshops I am organizing for this month	1
list all my upcoming event in mumbai on thursday	1
proposal in ajax on 21st April	0
architects in oracle with experience less than 10 years	0
my trainings I am speaking for next month	1
conference for this month	1
my project conference in Chennai between 1st of May and 2nd of December	1
list all the designers with 5+ years of experience	0
scala proposals on this Saturday	0
scala related designers in scala	0
what are all the course for this month	0
my course between 1st of May and 2nd of December	0
ajax case studie	0
my project workshop I am speaking for next month	1
what are all the workshops happening in chennai on wednesday	1
list all my upcoming training for this month	1
IBelong corporates happening in chennai for next month	1
d&i conference in london on 21st April	1
apricots tomorrow	0
lessons learnt available in scala on wednesday	0
my corporates in bangalore on thursday	1
UX event I am participating on this Saturday	1
lessons learnt on 21st April	2
my project conference I am participating	1
my events I am organizing on 21st April	1
list all my project risks tomorrow	0
list all my open tasks on this Saturday	0
list all my closed tasks for next week	0
scala related courses on wednesday	0
what are all my recommended workshops happening in chennai on next tuesday	1
list all my project events in london today	1
what are all my recommended events in london for this week	1
proposals in oracle on thursday	0
apricot for this week	0
apricots today	0
what are all my initiated task on 21st April	0
UI training in london From 17th April and 1st of May	1
SCALA celebration in bangalore between 1st of May and 2nd of December	1
white papers available in scala for this week	2
white paper on 21st April	0
java training in Chennai for next month	1
IBelong corporates I am speaking for this month	1
list all my conferences happening in chennai on this Saturday	1
my best practices today	0
white paper available in scala on this Saturday	0
scala best practice	0
scala related experts with 2-7 years of experience	0
UI training I am organizing for this week	1
IBelong corporate I am organizing on this Saturday	1
what are all the workshop in bangalore on thursday	1
Hub workshop I am organizing on Monday	1
lessons learnts in ajax	0
IBelong conference I am organizing for this month	1
white paper for this month	2
java related trainings on thursday	0
designers in scala with 2-7 years of experience	0
IBelong workshop in bangalore on next tuesday	1
list all my project issues on thursday	0
UI conference I am participating today	1
list all the best practices	2
trainings published in java for next week	2
competencie today	0
.net best practice between 1st of May and 2nd of December	2
list all my recommended event I am participating for this month	1
my proposal From 17th April and 1st of May	0
java related course on Monday	0
experts in scala with experience more than 3 years	0
.net course From 17th April and 1st of May	0
developer in java with experience more than 3 years	0
who are all the developers with experience less than 10 years	0
list all my project conferences I am speaking tomorrow	1
what are all the proposal between 1st of May and 2nd of December	0
UI conference on wednesday	1
Hub celebrations I am organizing for next month	1
courses published in java From 17th April and 1st of May	0
Hub trainings I am speaking on next tuesday	1
list all my task today	0
developers in java with experience less than 10 years	0
.net competencie on thursday	0
.net designer with 2-7 years of experience	0
UX corporate in london on 21st April	1
my project task on wednesday	0
ajax course tomorrow	0
what are all my initiated task for next week	0
Python corporate in bangalore for next month	1
experts in oracle with 5+ years of experience	0
scala developers with experience more than 3 years	0
what are all my recommended corporates in bangalore for this week	1
java conference happening in chennai on thursday	1
proposals on Monday	2
java celebration in Chennai From 17th April and 1st of May	1
courses in ajax on next tuesday	0
courses between 1st of May and 2nd of December	2
what are all my recommended celebrations on 21st April	1
java lessons learnt for next month	0
designers in ajax with experience less than 10 years	0
Python corporate in bangalore for this month	1
IBelong celebration happening in chennai between 1st of May and 2nd of December	1
list all my celebration happening in chennai tomorrow	1
competencie on next tuesday	2
issue on this Saturday	0
oracle event in bangalore	1
java related competencie for this month	2
oracle leads with experience more than 3 years	0
scala competencie for this month	0
list all my recommended workshops in Chennai on thursday	1
list all my upcoming conference on wednesday	1
architect in oracle with experience less than 10 years	0
list all my initiated task tomorrow	0
my workshops in Chennai on wednesday	1
d&i workshops I am speaking today	1
what are all my initiated task on wednesday	0
Hub trainings I am participating for next week	1
list all my upcoming celebrations I am participating	1
IBelong workshop in mumbai between 1st of May and 2nd of December	1
what are all my initiated issue between 1st of May and 2nd of December	0
oracle designers with 5 years of experience	0
my project tasks on this Saturday	0
list all my conference in bangalore for this week	1
list all my recommended trainings I am participating on next tuesday	1
list all my upcoming workshops I am speaking on this Saturday	1
list all conferences I am speaking on Monday	1
d&i conference I am participating today	1
java event I am participating for next week	1
ajax courses	0
java best practice tomorrow	0
list all my tasks for this month	0
list all my open risk on next tuesday	0
what are all my in progress tasks for this week	0
list all my project corporates happening in chennai on this Saturday	1
expert with 2-7 years of experience in scala	0
java competencie on thursday	0
list all my upcoming celebrations I am organizing From 17th April and 1st of May	1
best practice available in scala on next tuesday	0
oracle competencie for next month	0
UX celebrations in newyork on 21st April	1
d&i event in Chennai on 21st April	1
scala architect with 2-7 years of experience	0
d&i event in mumbai between 1st of May and 2nd of December	1
scala course on this Saturday	0
SAP analysts with experience more than 3 years	0
oracle best practice tomorrow	0
SCALA conferences in mumbai for next week	1
trainings available in scala for this week	2
SAP white papers for this month	2
Python corporates in bangalore on Monday	1
IBelong workshops I am participating tomorrow	1
list all my upcoming celebrations happening in chennai on wednesday	1
UX event in bangalore today	1
SCALA conferences I am organizing tomorrow	1
iOS developer with experience more than 3 years	0
scala related training on Monday	0
oracle white papers on thursday	0
ajax designers in oracle	0
course available in scala on this Saturday	0
java celebration in bangalore on thursday	1
UI events in newyork on next tuesday	1
ajax proposal on 21st April	0
what are all my upcoming corporates in newyork for this week	1
course available in scala on 21st April	0
Python events I am participating on next tuesday	1
list all training in mumbai for this week	1
java related case studie for next month	2
list all my recommended conference in bangalore tomorrow	1
what are all my recommended trainings happening in chennai on thursday	1
list all my project conferences I am organizing From 17th April and 1st of May	1
SCALA celebrations in mumbai for next week	1
my project events in london for next month	1
SAP architects with experience more than 3 years	0
list all my closed task on wednesday	0
list all my in progress apricot for this month	0
list all my initiated tasks on Monday	0
what are all my in progress issue on Monday	0
iOS expert with experience less than 10 years	0
who are all the analyst with experience more than 3 years	0
list all my project conference I am participating today	1
competencies in oracle From 17th April and 1st of May	0
my corporate in Chennai on thursday	1
list all my recommended training on next tuesday	1
my project conference in london on this Saturday	1
white paper on next tuesday	0
what are all the trainings on this Saturday	0
Python workshop in mumbai on wednesday	1
java related proposal today	0
d&i event in mumbai tomorrow	1
my issues for next week	0
Hub event in Chennai	1
SAP courses for this week	0
my workshops in bangalore for next week	1
list all the competencies tomorrow	2
Hub corporate in mumbai for next month	1
corporate on 21st April	1
what are all my recommended trainings in bangalore for this month	1
list all my upcoming workshop in mumbai for next month	1
oracle white paper on Monday	0
designer in java with 5+ years of experience	0
white papers between 1st of May and 2nd of December	0
ajax proposals on next tuesday	0
d&i corporate between 1st of May and 2nd of December	1
list all my recommended training in bangalore on Monday	1
IBelong conferences I am organizing today	1
Hub trainings I am speaking today	1
best practice in ajax on next tuesday	0
java related lessons learnt between 1st of May and 2nd of December	0
java proposal for next week	0
list all my project corporates in bangalore on Monday	1
training available in scala on 21st April	0
list all my project training in london From 17th April and 1st of May	1
Python events in mumbai on next tuesday	1
Hub events in mumbai for this month	1
list all my upcoming trainings happening in chennai for next month	1
my project conference in mumbai for next week	1
case studies in ajax on this Saturday	0
IBelong event in mumbai tomorrow	1
list all corporate in london on this Saturday	1
list all my apricot on 21st April	0
courses available in scala for this month	0
list all workshops in Chennai on next tuesday	1
IBelong corporate tomorrow	1
white paper tomorrow	0
white papers published in java on 21st April	0
scala courses on Monday	2
proposals published in java From 17th April and 1st of May	0
my conference in london today	1
what are all the case studie on 21st April	2
scala related white paper on Monday	0
training published in java From 17th April and 1st of May	0
UI training in bangalore for next week	1
my best practices on 21st April	0
Python training in mumbai on this Saturday	1
lessons learnt in oracle on this Saturday	2
my celebration in mumbai for this month	1
java training for this week	2
d&i conferences happening in chennai on thursday	1
scala related proposal for next week	2
what are all my recommended workshops in mumbai today	1
list all my recommended workshops in london for this week	1
java white paper for this month	2
oracle training on Monday	1
my issue From 17th April and 1st of May	0
what are all the events I am participating on wednesday	1
SCALA corporates I am organizing	1
list all my project events I am participating for next week	1
java related case studies on Monday	2
list all my workshop in Chennai tomorrow	1
list all the developers with 5+ years of experience	0
list all the course on 21st April	0
list all my corporates I am organizing	1
what are all my in progress issue tomorrow	0
iOS leads with experience less than 10 years	0
scala related case studie today	0
what are all my upcoming corporate I am speaking for this month	1
list all my upcoming events in mumbai on wednesday	1
Python event I am speaking between 1st of May and 2nd of December	1
IBelong workshop on wednesday	1
SCALA event in mumbai between 1st of May and 2nd of December	1
training in ajax today	0
list all my corporate in Chennai on thursday	1
ajax proposal on this Saturday	0
best practices for next week	0
trainings for next month	2
java training for next month	0
my project conferences in Chennai	1
scala case studies for next month	2
lessons learnts available in scala for next month	2
what are all the celebration in Chennai for next week	1
what are all my upcoming workshops in bangalore for this month	1
list all my celebrations happening in chennai tomorrow	1
list all corporates From 17th April and 1st of May	1
what are all my closed risk on this Saturday	0
java courses on this Saturday	0
course published in java on Monday	0
list all my upcoming trainings on thursday	1
list all event in bangalore for next month	1
list all the competencie	0
oracle workshops I am participating between 1st of May and 2nd of December	1
oracle lessons learnt today	0
java workshop I am organizing for next week	1
proposals on 21st April	2
my workshop happening in chennai From 17th April and 1st of May	1
my risks for next month	0
list all my upcoming corporate I am participating for next week	1
d&i conference in mumbai on 21st April	1
architect in scala with 2-7 years of experience	0
Python training I am speaking today	1
list all my celebration in bangalore on next tuesday	1
scala related expert in java	0
expert with experience more than 3 years in scala	0
my project event I am participating	1
list all the lessons learnt on this Saturday	2
SCALA workshops in london on thursday	1
my training in bangalore on this Saturday	1
d&i event in Chennai on Monday	1
java designers with 5 years of experience	0
architect in scala	0
scala related case studie on 21st April	0
java celebration I am speaking between 1st of May and 2nd of December	1
Hub celebrations in Chennai	1
list all my in progress apricot on wednesday	0
oracle trainings I am participating for next month	1
Hub trainings in london on 21st April	1
case studies in oracle on 21st April	0
ajax trainings for next week	0
scala case studie for next month	0
java related lessons learnt for next month	0
list all my corporate happening in chennai between 1st of May and 2nd of December	1
my celebration I am speaking for next month	1
oracle event today	1
list all my open issues for next month	0
java competencies today	0
list all my closed risks on next tuesday	0
iOS analysts with 2-7 years of experience	0
UI workshop I am organizing on thursday	1
UI events I am organizing on thursday	1
java training I am participating From 17th April and 1st of May	1
list all my in progress risk on wednesday	0
SCALA celebrations for next month	1
scala related best practices for next week	0
what are all my recommended event in Chennai tomorrow	1
scala best practice From 17th April and 1st of May	0
java workshop in london on 21st April	1
leads in ajax with experience more than 3 years	0
ajax proposal tomorrow	2
list all my upcoming corporate happening in chennai	1
list all my recommended training I am organizing on this Saturday	1
UX designers with 5 years of experience	0
Hub trainings between 1st of May and 2nd of December	1
java conference I am speaking on this Saturday	1
list all my project event in newyork between 1st of May and 2nd of December	1
what are all the best practice for next week	0
list all my in progress risk tomorrow	0
my corporates in london	1
what are all my recommended celebration in newyork	1
SCALA celebrations happening in chennai for this month	1
IBelong corporates I am participating tomorrow	1
best practice on wednesday	0
trainings published in java	0
java related case studies between 1st of May and 2nd of December	0
UX celebration happening in chennai for next month	1
oracle trainings on Monday	0
UX celebration in bangalore on this Saturday	1
java leads	0
list all my recommended conferences I am participating between 1st of May and 2nd of December	1
list all corporates I am organizing between 1st of May and 2nd of December	1
what are all my in progress risk between 1st of May and 2nd of December	0
oracle training for this week	0
list all workshops in newyork for next month	1
what are all the course on next tuesday	0
java lessons learnts for this week	0
java proposals today	2
UX lead in scala	0
ajax proposals for next week	0
white papers on next tuesday	0
Hub celebration in Chennai between 1st of May and 2nd of December	1
list all the developer with 5+ years of experience	0
developers with 5+ years of experience in ajax	0
oracle best practices tomorrow	0
my courses tomorrow	2
experts with experience more than 3 years in java	0
list all my upcoming events in mumbai for next week	1
java white paper on this Saturday	2
what are all my recommended corporate in newyork between 1st of May and 2nd of December	1
what are all my initiated task for next month	0
oracle corporate in Chennai on wednesday	1
my training in london on next tuesday	1
list all my corporates in newyork on this Saturday	1
apricot on 21st April	0
list all my project celebrations in london for next week	1
java proposals for this week	0
my event in Chennai on Monday	1
list all the competencies on Monday	0
scala related analysts with 2-7 years of experience	0
what are all my open tasks From 17th April and 1st of May	0
ajax best practices between 1st of May and 2nd of December	0
oracle white paper on this Saturday	2
competencie in ajax for next week	0
what are all my initiated risks for this month	0
.net proposal tomorrow	0
java related proposals	0
list all my events I am organizing on next tuesday	1
proposals available in scala for next week	0
architects in ajax with 5 years of experience	0
d&i celebrations on 21st April	1
best practice today	0
java related lessons learnts for next month	2
java architects with experience more than 3 years	0
UI event in newyork on 21st April	1
list all workshops I am organizing on thursday	1
list all my upcoming event I am speaking for this month	1
d&i conferences in bangalore for this week	1
leads with 2-7 years of experience in oracle	0
lessons learnts available in scala on this Saturday	2
SCALA celebrations in bangalore for next week	1
competencie in oracle for this week	0
oracle trainings for this month	1
list all my corporate in london From 17th April and 1st of May	1
scala best practice for next month	0
Hub conferences in Chennai on 21st April	1
UX leads with 2-7 years of experience	0
my project corporates I am organizing today	1
UX trainings I am participating for next week	1
what are all my upcoming conference in newyork on next tuesday	1
case studie in ajax for this week	2
list all my upcoming conference in Chennai for this week	1
list all my apricots tomorrow	0
leads with experience less than 10 years in scala	0
UI celebrations I am participating on this Saturday	1
my proposals for this month	0
list all my upcoming corporates I am organizing for next month	1
list all my project workshop I am organizing for next week	1
list all trainings happening in chennai between 1st of May and 2nd of December	1
list all my project workshop in london for this month	1
android leads in java	0
lessons learnt in ajax for next month	0
list all my conferences I am organizing on next tuesday	1
list all my initiated task for this month	0
java case studie on next tuesday	2
my conferences in Chennai	1
what are all the celebrations in Chennai on this Saturday	1
d&i event in bangalore for this week	1
my celebrations happening in chennai on Monday	1
.net course on wednesday	0
iOS experts in scala	0
.net proposals on this Saturday	2
oracle competencie	0
my project corporate I am participating on this Saturday	1
ajax course on thursday	0
UX workshops I am participating on wednesday	1
what are all my open issues on Monday	0
IBelong celebration in london on 21st April	1
list all my recommended conference in newyork on wednesday	1
my risk tomorrow	0
what are all my upcoming trainings in london on wednesday	1
Hub trainings in Chennai tomorrow	1
what are all my recommended event I am participating for next month	1
list all my recommended corporate I am organizing for next month	1
what are all my recommended workshop I am participating on 21st April	1
IBelong celebrations in mumbai for this week	1
list all my project workshop in bangalore on this Saturday	1
list all training happening in chennai tomorrow	1
list all my training between 1st of May and 2nd of December	1
UX training I am participating between 1st of May and 2nd of December	1
what are all my recommended corporates in bangalore for this month	1
what are all my upcoming events in newyork on Monday	1
lead in oracle with 5+ years of experience	0
what are all my recommended celebrations in london on wednesday	1
SCALA workshops in london	1
java trainings on this Saturday	2
who are all the analysts in ajax	0
iOS architects with 5 years of experience	0
java designers with experience more than 3 years	0
white paper available in scala on next tuesday	0
list all my recommended corporate I am participating on next tuesday	1
oracle experts in oracle	0
java celebration in newyork on this Saturday	1
what are all the proposals for next week	0
what are all the corporate in bangalore on wednesday	1
android designer with 5 years of experience	0
what are all my recommended event in mumbai on Monday	1
Hub workshop happening in chennai for next week	1
my project events I am speaking on 21st April	1
list all my project celebrations in london on this Saturday	1
white paper published in java today	0
scala course between 1st of May and 2nd of December	2
java trainings I am organizing for next week	1
what are all my recommended trainings in london for next week	1
list all my project conferences I am speaking today	1
list all my recommended events in bangalore on Monday	1
d&i corporate in mumbai on next tuesday	1
analysts with 2-7 years of experience in oracle	0
proposal in ajax on wednesday	0
.net designer in ajax	0
case studies available in scala for this month	0
scala architects	0
list all the leads with experience more than 3 years	0
analyst with 5+ years of experience	0
training on this Saturday	0
my case studies	2
what are all my open apricot on Monday	0
what are all the trainings in Chennai on 21st April	1
Hub conferences in bangalore tomorrow	1
list all my project events in mumbai for next month	1
d&i corporate in newyork for this week	1
list all my conference happening in chennai between 1st of May and 2nd of December	1
my celebrations in mumbai on thursday	1
list all corporate in bangalore today	1
what are all my upcoming workshop in mumbai on Monday	1
what are all my upcoming conference happening in chennai tomorrow	1
UX training happening in chennai for this month	1
scala related developer in ajax	0
what are all my upcoming conferences I am participating on next tuesday	1
list all the analysts with 5+ years of experience	0
what are all my in progress risks on Monday	0
IBelong events in london for next week	1
SAP competencies From 17th April and 1st of May	2
Hub training in Chennai for next month	1
what are all my in progress risks between 1st of May and 2nd of December	0
scala related white paper for this week	0
best practices in oracle on Monday	0
my training happening in chennai for this month	1
UX corporate I am speaking tomorrow	1
java architect in scala	0
course for next week	2
experts in ajax with 5+ years of experience	0
my workshop I am speaking on thursday	1
what are all the corporate in bangalore From 17th April and 1st of May	1
java conferences in bangalore for next week	1
d&i workshop I am speaking today	1
UX conferences in london on 21st April	1
java related case studie From 17th April and 1st of May	0
java celebration happening in chennai tomorrow	1
my project trainings in newyork	1
list all my upcoming conferences for this week	1
what are all my in progress apricots between 1st of May and 2nd of December	0
list all my project trainings happening in chennai on next tuesday	1
celebrations happening in chennai	1
experts in oracle	0
java related trainings for this week	0
java celebrations happening in chennai today	1
iOS analyst with experience less than 10 years	0
what are all the best practices for next month	0
java conferences I am participating on 21st April	1
expert with 5 years of experience	0
white paper available in scala today	0
list all my training in newyork From 17th April and 1st of May	1
.net architect	0
UX designer with experience more than 3 years	0
architect with 5 years of experience in ajax	0
list all my project event in bangalore on Monday	1
list all the white papers	0
java expert with 2-7 years of experience	0
UX workshops in newyork today	1
java developers with experience less than 10 years	0
java related white paper on thursday	0
list all the case studie From 17th April and 1st of May	0
case studies in oracle for next month	0
Python celebration in mumbai for this month	1
